resultId,raceId,driverId,constructorId,number,grid,position,positionText,FinishPos,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,Driver,Team,year,GP_long,QualifyingPosition,GP,GapToPole,PitstopCount,AvgPitstopTime,AvgPoints,AvgFinishPos,MomentumPoints,MomentumFinish,CumulativePitstopCount,CumulativeAvgPitstopTime,Experience,OvertakeDifficulty,AvgAbsPaceScore_Combination_Dry,AvgAbsPaceScore_Slow Corners_Dry,AvgAbsPaceScore_Straights_Dry,AvgRelPaceScore_Combination_Dry,AvgRelPaceScore_Slow Corners_Dry,AvgRelPaceScore_Straights_Dry,AvgPitDur,PitCount,RacesEntered,AvgAbsPaceScore_Combination_Wet,AvgAbsPaceScore_Fast Corners_Dry,AvgAbsPaceScore_Fast Corners_Wet,AvgAbsPaceScore_Slow Corners_Wet,AvgAbsPaceScore_Straights_Wet,AvgRelPaceScore_Combination_Wet,AvgRelPaceScore_Fast Corners_Dry,AvgRelPaceScore_Fast Corners_Wet,AvgRelPaceScore_Slow Corners_Wet,AvgRelPaceScore_Straights_Wet,Team_enc,Model2023_Pred,PredictedScore,PredictedPosition,ActualTopN,PredTopN,AbsError
26318,1122,839,214,31,17,13,13,13,0.0,49,\N,\N,48,17,1:33.481,237.763,11,OCO,Alpine F1 Team,2024,Saudi Arabian Grand Prix,17.0,Saudi Arabian,1.174999999999983,1.0,22.502,3.111940298507463,10.843283582089553,4.0,11.0,1.5895522388059702,104.68331069651741,124,1.0,-1.097781117943672,-0.4719187065514548,-0.21989933182898647,0.9933374592986578,0.9938624050397772,1.0031343835251425,25.12071052631579,38.0,124,-0.03720652652267168,-0.0896595289213624,0.11676876143880356,0.02859705041704578,-0.09015876659770482,1.094406950394035,1.0349897445974838,1.0040835124246805,1.003411235335176,1.0061601729512752,0,-4.674627479230964,-1.2235752858312592,15.0,False,False,2.0
26307,1122,815,9,11,3,2,2,2,18.0,50,+13.6431,4862704,37,8,1:32.273,240.876,1,PER,Red Bull,2024,Saudi Arabian Grand Prix,3.0,Saudi Arabian,0.33499999999999375,1.0,22.196,5.634615384615385,9.276923076923078,15.0,3.0,1.9038461538461537,65.35177224358974,250,1.0,0.6213975715749029,0.6866647800011068,0.3176446844029868,0.9977542440333923,0.9942797869755311,0.9979722520240889,24.791666666666668,48.0,250,0.06592785207012314,0.1651913129594063,-0.0739517591436009,0.10697181110888616,0.9026723541823336,1.0911738740641648,1.0136894726831047,1.002522633202273,1.0012685792412583,0.9935543052582089,0,1.8634807528609756,0.8680225143312847,3.0,True,True,1.0
26309,1122,857,1,81,5,4,4,4,12.0,50,+32.007,4875280,1,10,1:32.310,240.779,1,PIA,McLaren,2024,Saudi Arabian Grand Prix,5.0,Saudi Arabian,0.6169999999999902,1.0,21.427,3.739130434782609,10.782608695652174,4.666666666666667,8.0,1.9130434782608696,124.56047971014493,22,1.0,0.13243672625735703,0.4409841012443845,0.034529444663355974,0.997798861015122,1.0006347934750908,0.999903224428169,24.722947368421053,38.0,22,-0.0005553355658901105,0.020578284096035675,-0.023734064120622542,-0.057353547919369224,0.0,1.1143190329973898,1.0323094682523821,1.0173631908120244,1.015213754388243,0.0,0,-1.4874081889440804,0.3891571132174514,7.0,False,False,3.0
26321,1122,817,215,3,14,16,16,16,0.0,49,\N,\N,47,16,1:33.323,238.166,11,RIC,RB F1 Team,2024,Saudi Arabian Grand Prix,14.0,Saudi Arabian,1.195999999999998,1.0,63.364,5.470833333333333,9.979166666666666,0.0,12.666666666666666,1.8625,68.46543722222222,239,1.0,0.062095887891988374,-0.45842869012676335,-0.3620663631667452,1.0052675532796782,0.9997687542214779,0.9971366452224414,23.92846666666667,15.0,239,0.019844689856082207,-0.12407999695924794,0.2856361210491216,0.0,-0.37720675707994544,1.0982088078956223,1.0016874504225957,1.0069913481297543,0.0,0.9970044494186846,0,-4.004147717648661,-1.2235752858312592,16.0,False,False,0.0
26311,1122,847,131,63,7,6,6,6,8.0,50,+39.936,4883209,42,7,1:32.254,240.926,1,RUS,Mercedes,2024,Saudi Arabian Grand Prix,7.0,Saudi Arabian,0.8439999999999941,1.0,21.013,4.266666666666667,11.342857142857143,9.666666666666666,5.333333333333333,1.8857142857142857,88.21925784580498,103,1.0,0.21609197565129645,0.16139338675625023,0.4033090013543144,0.9978553230642946,1.0006389156520274,1.0038135697334611,24.30832558139535,43.0,103,-0.01747802958812335,0.1574195063822266,-0.14028723176116775,-0.13283736678013486,0.17097357747072267,1.0827467186613693,1.0394024145699015,1.0081072665389126,1.0062940927773532,0.9911187679997456,0,-1.2736420627536318,0.44530991669071857,6.0,False,False,0.0
26319,1122,858,3,2,19,14,14,14,0.0,49,\N,\N,44,18,1:33.523,237.657,11,SAR,Williams,2024,Saudi Arabian Grand Prix,19.0,Saudi Arabian,2.053999999999988,1.0,23.645,0.043478260869565216,16.0,0.0,17.333333333333332,2.0869565217391304,78.18264855072464,22,1.0,-0.19641423905157596,-0.363885270849303,-0.35454412755866427,1.003684209800728,1.002213919869183,0.9961368265305195,25.820928571428574,42.0,22,-0.14639401546982767,-0.186164065806461,0.44878951181047005,-1.0571950447282736,-0.5552186475400519,0.992538164956738,1.0178874171991015,0.9719663754778364,0.8903783201348597,1.0023144919927756,0,-4.98749520343918,-1.2235752858312592,17.0,False,False,3.0
26324,1122,840,117,18,10,\N,R,19,0.0,5,\N,\N,5,19,1:35.560,232.591,3,STR,Aston Martin,2024,Saudi Arabian Grand Prix,10.0,Saudi Arabian,1.0999999999999943,0.0,0.0,1.813793103448276,12.186206896551724,4.0,8.333333333333334,1.7655172413793103,89.89390952380953,143,1.0,-0.07292608841857244,-0.3264328313027606,0.09002065063792243,0.9998226431467695,0.9948677805617696,1.002051940006308,23.517317073170734,41.0,143,0.05260964173190653,-0.10417798619413876,-0.1062341922313139,-0.04670303825365043,0.07342729796358821,1.0956253177181663,1.0176617921835025,1.003087088140111,1.0063393498683375,0.9902092043001601,0,-2.7588751437378694,-1.2235752858312592,18.0,False,False,1.0
26320,1122,852,215,22,9,15,15,15,0.0,49,\N,\N,49,15,1:33.026,238.926,11,TSU,RB F1 Team,2024,Saudi Arabian Grand Prix,9.0,Saudi Arabian,0.9699999999999989,1.0,21.694,0.8656716417910447,13.656716417910447,1.3333333333333333,13.333333333333334,2.014925373134328,127.87198184079602,63,1.0,-0.40763955157636633,-0.4268656016973071,-0.22411772739418628,0.9949527544476499,1.000612430921611,1.0035724199236165,24.49267441860465,43.0,63,0.021899530527249536,-0.02756993135689681,0.03185176278654185,0.054662543646152376,-0.24621392093329336,1.0959897517445258,1.0385582245380367,1.012582672065819,1.0207018960057335,1.0038389805823889,0,-4.439381652341901,-1.2235752858312592,19.0,False,False,4.0
26306,1122,830,9,1,1,1,1,1,25.0,50,1:20:43.273,4843273,50,3,1:31.773,242.188,1,VER,Red Bull,2024,Saudi Arabian Grand Prix,1.0,Saudi Arabian,0.0,1.0,20.607,10.616803278688524,7.807377049180328,25.666666666666668,1.0,1.9139344262295082,57.37034952185792,185,1.0,0.8311079296647286,1.0704554843203002,0.43062600555364366,1.0024339817878984,1.0060627380595848,1.0034007737575754,23.046772727272728,44.0,185,0.09378939429692724,0.19418035465987904,0.015319965618668588,0.18234352451080185,1.149833154175232,1.0963749220411945,1.0500593467900337,1.0177598230370901,1.0246846248999506,1.0071862923921209,0,2.710902725032251,1.2507309565459888,1.0,True,True,0.0
26323,1122,855,15,24,20,18,18,18,0.0,49,\N,\N,49,6,1:32.208,241.046,11,ZHO,Sauber,2024,Saudi Arabian Grand Prix,20.0,Saudi Arabian,1.98899999999999,1.0,46.381,0.26666666666666666,14.11111111111111,0.0,14.333333333333334,2.0,78.63601037037037,44,1.0,-0.4258064282112271,-0.3831117984251164,-0.1228525645276019,1.001403571789397,1.003084528000875,1.003745427864206,24.98479591836735,49.0,44,-0.0489501794199461,-0.07221401775577424,0.06501693028769863,0.12066989796131308,-0.4833824888218422,1.0559181827408366,1.0508344137363226,1.0178603292081267,1.0389517340180363,0.9932987114044299,0,-5.119241994062367,-1.2235752858312592,20.0,False,False,2.0
26336,1123,848,3,23,12,11,11,11,0.0,57,\N,\N,46,17,1:21.618,232.801,11,ALB,Williams,2024,Australian Grand Prix,12.0,Australia,1.2520000000000095,2.0,17.75,1.7829457364341086,12.782945736434108,0.0,13.333333333333334,1.1317829457364341,40.43042351421189,81,0.0,-0.5190177858985013,-0.4918928058708039,-0.15758623330090726,0.9965673696467535,0.998256451891188,1.0033835041565236,25.925375000000003,40.0,81,0.12043014431541588,-0.09965719643018504,0.27865784675836824,-0.06044614626741423,-0.6238817215229182,1.0107117313575684,1.0131375696518103,1.0924678868690938,1.1764404549038667,0.9986433367612978,0,-4.640952290286279,-1.5503180673713175,13.0,False,False,2.0
26333,1123,4,117,14,10,8,8,8,4.0,58,+1:40.992,4927835,52,7,1:20.493,236.055,1,ALO,Aston Martin,2024,Australian Grand Prix,10.0,Australia,1.2240000000000038,2.0,18.0775,5.945026178010472,8.379581151832461,6.0,7.0,1.1361256544502618,40.69390370855148,377,0.0,-0.05065983839858124,0.023506500424230647,0.03546668442618115,1.0004188372318696,1.0055732130219297,1.0060294798809133,24.706000000000003,44.0,377,0.02483320409922596,0.09203731274190355,-0.03259175734195502,0.03354490081626526,0.46677959670377445,1.09495626076742,1.031957445170483,1.0215162755867249,1.0311441482700268,1.0108408829660558,0,-1.514100840980905,-0.9173002315627038,9.0,False,False,1.0
